SMILES,pIC50,FP
Brc1cccc(Nc2ncnc3cnc(NCCc4ccccn4)cc23)c1,8.504999999999999,[0 0 0 ... 0 0 0]
Brc1cccc(Nc2ncnc3cnc(NCCn4ccnc4)nc23)c1,8.63,[0 0 0 ... 0 0 0]
Brc1cccc(Nc2ncnc3cnc(NCc4cccnc4)cc23)c1,8.355,[0 0 0 ... 0 0 0]
Brc1cccc(Nc2ncnc3cnccc23)c1,7.29,[0 0 0 ... 0 0 0]
Brc1cccc(Nc2ncnc3ncccc23)c1,6.16,[0 0 0 ... 0 0 0]
Brc1cccc(Nc2ncnc3sc4c(c23)CCCC4)c1,8.58,[0 0 0 ... 0 0 0]
Brc1cccc(Nc2ncnc3sccc23)c1,7.46,[0 0 0 ... 0 0 0]
Brc1cccc(Oc2ncnc3ccccc23)c1,6.12,[0 0 0 ... 0 0 0]
C#CC(=O)N1CC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccc(OC)cc5)cc4)[nH]c23)C1,7.05,[0 0 0 ... 0 0 0]
C#CC(=O)N1CC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccccc5)cc4)[nH]c23)C1,7.47,[0 0 0 ... 0 0 0]
C#CC(=O)N1CCC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccc(F)cc5)cc4)[nH]c23)C1,7.41,[0 0 0 ... 0 0 0]
C#CC(=O)N1CCC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccc(F)cc5F)cc4)[nH]c23)CC1,7.48,[0 0 0 ... 0 0 0]
C#CC(=O)N1CCC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccc(OC)cc5)cc4)[nH]c23)CC1,7.29,[0 0 0 ... 0 0 0]
C#CC(=O)N1CCC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccccc5)cc4)[nH]c23)C1,7.53,[0 0 0 ... 0 0 0]
C#CC(=O)N1CCC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccccc5)cc4)[nH]c23)CC1,7.51,[0 0 0 ... 0 0 0]
C#CC(=O)N1CCC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccccc5F)cc4)[nH]c23)CC1,7.79,[0 0 0 ... 0 0 0]
C#CC(=O)N1CCC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccccc5OC)cc4)[nH]c23)C1,6.98,[0 0 0 ... 0 0 0]
C#CC(=O)N1CCCC(N(C)c2nc(-c3cnn(C)c3)c3c(c2F)CNC3=O)C1,6.0,[0 0 0 ... 0 0 0]
C#CC(=O)N1CCN(C(=O)Oc2cc3c(Nc4ccc(Cl)c(Cl)c4F)ncnc3cc2OC)[C@H](C)C1,9.49,[0 0 0 ... 0 0 0]
C#CC(=O)NCCn1cc(-c2ncnc3cc(OC)c(OC)cc23)c(-c2cccc(OC)c2)n1,6.8100000000000005,[0 0 0 ... 0 0 0]
C#CC(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.52,[0 0 0 ... 0 0 0]
C#CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,8.685,[0 0 0 ... 0 0 0]
C#CCCC(=O)N1CCN(c2ccc(Nc3ncc(Cl)c(Oc4cccc(NC(=O)CCCCc5cc5=O)c4)n3)c(OC)c2)CC1,6.68,[0 0 0 ... 0 0 0]
C#CCCCCCOc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC,7.49,[0 0 0 ... 0 0 0]
C#CCCCCOc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC,7.06,[0 0 0 ... 0 0 0]
C#CCCCOc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC,8.6,[0 0 0 ... 0 0 0]
